Field_ID,FieldCall,Desc,BaseMapUnit,MapUnit,SiteSeries,Association,ForNonfor,Type,Type2,Type3,Full,Alliance,Class,Group,Realm,ExpectedPhysiog,Will to check,order,ColorType,RGB_Colour,Class_ID,Group_ID,Realm_ID,Physiog_ID,Map_ID,Notes
30,Ag,,Ag,Ag,,Ag,Nfor,Nfor,Nfor,Nfor,A,,Ag,A,T,2,,34,-10,,100,100,1,2,100,
,ESSFmcw/Ag,,Ag,Ag,,Ag,Nfor,Nfor,Nfor,Nfor,A,,Ag,A,T,2,,,,,,,,,,
79,Am,alpine meadow,Am,Am,,Am,Nfor,Nfor,Nfor,Nfor,A,,Am,A,T,2,y,81,,,,,,,,
,ESSFmcw/Am,,Am,Am,,Am,Nfor,Nfor,Nfor,Nfor,A,,Am,A,T,2,,,,,,,,,,
99,CC,clearcut,CC,CC,,,CC,YFor,Nfor,Nfor,,,CC,,T,2 to 5,,74,99,,99,99,1,1,99,
,Cc,clearcut,CC,CC,,,CC,YFor,Nfor,Nfor,,,CC,,T,2 to 5,,,99,,99,99,1,1,99,
70,CF,Cultivated Field,CF,CF,,,Nfor,Nfor,Nfor,Nfor,,,CF,,T,2,,65,100,,12000,12000,1,2,12000,
,Cf,Cultivated Field,CF,CF,,,Nfor,Nfor,Nfor,Nfor,,,CF,,T,2,,,100,,12000,12000,1,2,12000,
,CX,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
will/hardy,Mine Track,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
,Opening,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
36,Rz,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,39,-21,,601,600,1,2,601,
36,RZ,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,39,-21,,601,600,1,2,601,
78,SK,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
,SX,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
will/hardy,Track,,CX,CX,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
,ES,,ES,ES,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,NA,,,,,,,,,,
will/hardy,Mud Wallow,,ES,ES,,,Non_veg,Cleared,Nfor,Nfor,Non_veg,,,,,,,,,,,,,,,
4,ESSFmc/01,,ESSFmc_01,ESSFmc_01,ESSFmc_01,,For,For,For,For,ESSFmc_01,,Tm,T,T,6,,2,0,8106A9,0,0,1,1,1,
5,ESSFmc/02,,ESSFmc_02,ESSFmc_02,ESSFmc_02,,For,Treed,For,For,ESSFmc_02,,Tx,T,T,6,,3,-3,,0,0,1,1,2,
6,ESSFmc/03,,ESSFmc_03,ESSFmc_03,ESSFmc_03,,For,For,For,For,ESSFmc_03,,Tx,T,T,6,,4,-2,,0,0,1,1,3,
7,ESSFmc/04,,ESSFmc_04,ESSFmc_04,ESSFmc_04,,For,For,For,For,ESSFmc_04,,Tm,T,T,6,,5,-1,,0,0,1,1,4,
8,ESSFmc/05,,ESSFmc_05,ESSFmc_05,ESSFmc_05,,For,For,For,For,ESSFmc_05,,Tm,T,T,6,,6,1,,0,0,1,1,5,
9,ESSFmc/06,,ESSFmc_06,ESSFmc_06,ESSFmc_06,,For,For,For,For,ESSFmc_06,,Thg,T,T,6,,7,2,,0,0,1,1,6,
,ESSFmc/06.2,,ESSFmc_06.2,ESSFmc_06,ESSFmc_06,,For,For,For,For,ESSFmc_06,,,,,,,,,,,,,,,
11,ESSFmc/08,,ESSFmc_06.2,ESSFmc_06,ESSFmc_06,,For,For,For,For,ESSFmc_06,,Thg,T,T,6,,9,4,,0,0,1,1,8,convert from 08 to 06.2
10,ESSFmc/07,,ESSFmc_07,ESSFmc_07,ESSFmc_07,,For,For,For,For,ESSFmc_07,,Thg,T,T,6,,8,3,,0,0,1,1,7,
12,ESSFmc/09,,ESSFmc_09,ESSFmc_09,ESSFmc_09,,For,For,For,For,ESSFmc_09,,Thd,T,T,6,,10,5,,0,0,1,1,9,
13,ESSFmc/10,,ESSFmc_10,ESSFmc_10,ESSFmc_10,,For,For,For,For,ESSFmc_10,,Thd,T,T,6,,11,6,,0,0,1,1,10,
14,ESSFmcw/101,,ESSFmcw_101,ESSFmcw_101,ESSFmcw_101,,For,For,For,For,ESSFmcw_101,,Tm,T,T,6,,12,0,AF3BD4,0,0,1,1,11,
,ESSFmcw_101a,,ESSFmcw_101a,ESSFmcw_101a,ESSFmcw_101,,For,For,For,For,ESSFmcw_101,,,,,,,,,,,,,,,
,ESSFmcw_101b,,ESSFmcw_101b,ESSFmcw_101b,ESSFmcw_101,,For,For,For,For,ESSFmcw_101,,,,,,,,,,,,,,,
,ESSFmc/102,,ESSFmcw_102,ESSFmcw_102,ESSFmcw_102,,Nfor,Treed,For,For,ESSFmcw_102,,Tx,T,T,6,,,,,,,,,,
15,ESSFmcw/102,,ESSFmcw_102,ESSFmcw_102,ESSFmcw_102,,Nfor,Treed,For,For,ESSFmcw_102,,Tx,T,T,6,,13,-2,,0,0,1,1,12,
,ESSFmcw_102,,ESSFmcw_102,ESSFmcw_102,ESSFmcw_102,,Nfor,Treed,For,For,ESSFmcw_102,,,,,,,,,,,,,,,
16,ESSFmcw/103,,ESSFmcw_103,ESSFmcw_103,ESSFmcw_103,,For,For,For,For,ESSFmcw_103,,Tm,T,T,6,,14,-1,,0,0,1,1,13,
,ESSFmcw_103,,ESSFmcw_103,ESSFmcw_103,ESSFmcw_103,,For,For,For,For,ESSFmcw_103,,,,,,,,,,,,,,,
17,ESSFmcw/110,,ESSFmcw_110,ESSFmcw_110,ESSFmcw_110,,For,For,For,For,ESSFmcw_110,,Thg,T,T,6,,15,1,,0,0,1,1,14,
,ESSFmcw_110,,ESSFmcw_110,ESSFmcw_110,ESSFmcw_110,,For,For,For,For,ESSFmcw_110,,,,,,,,,,,,,,,
18,ESSFmcw/111,,ESSFmcw_111,ESSFmcw_111,ESSFmcw_111,,For,For,For,For,ESSFmcw_111,,Thd,T,T,6,,16,2,,0,0,1,1,15,
,ESSFmcw_111,,ESSFmcw_111,ESSFmcw_111,ESSFmcw_111,,For,For,For,For,ESSFmcw_111,,,,,,,,,,,,,,,
,ESSFmcw/Fa,,Fa,Fa,,Fa,Nfor,Nfor,Nfor,Nfor,F,,Fa,FL,,2,,,,,,,,,,
31,Fl,,Fl,Fl,,Fl,Nfor,Nfor,Nfor,Nfor,F,,Fl,FL,T,3a,,35,10,,310,300,1,2,310,
,SBSmc2/Fl01,,Fl01,Fl,,Fl,Nfor,Nfor,Nfor,Nfor,F,,Fl,FL,,3a,,,,,,,,,,
32,Fm,,Fm,Fm,,Fm,For,Treed,For,For,F,,Fm,FL,T,6,,68,11,,310,300,1,1,310,
,SBSmc2/Fm02,,Fm02,Fm,,Fm,For,Treed,For,For,F,,Fm,FL,T,6,,,,,,,,,,
,Fores,,Forest,Forest,,,For,For,For,For,,,,F,T,6,,,,,,,,,,
,Forest,,Forest,Forest,,,For,For,For,For,,,,,,,,,,,,,,,,
,ESSFmc/Gb,,Gb,Gb,,Gb,Nfor,Nfor,Nfor,Nfor,G,,Gb,G,,3,,,,,,,,,,
,Gb,,Gb,Gb,,Gb,Nfor,Nfor,Nfor,Nfor,G,,Gb,G,,3,,,,,,,,,,
68,LA,Lake,LA,LA,,,Non_veg,Wat,Nfor,Nfor,Wat,,,,A,NA,,66,101,,10000,10000,2,4,10000,
,La,Lake,LA,LA,,,Non_veg,Wat,Nfor,Nfor,Wat,,,,A,NA,,,101,,10000,10000,2,4,10000,
,OW,,LA,LA,,,Non_veg,Wat,Nfor,Nfor,Wat,,,,,,,,,,,,,,,
,Shallow pool,,LA,LA,,,Non_veg,Wat,Nfor,Nfor,Wat,,,,,,,,,,,,,,,
,Shallow water,,LA,LA,,,Non_veg,Wat,Nfor,Nfor,Wat,,,,,,,,,,,,,,,
,?,,NA,NA,,,NA,NA,NA,NA,,,,,,NA,,,,,,,,,,
,ESSFmc/Unk,,NA,NA,,,NA,NA,NA,NA,,,,,,NA,,,,,,,,,,
1,FoM,,NA,NA,,,NA,NA,NA,NA,,,,,,NA,,,,,,,,,,
,SBSmc2,,NA,NA,,,NA,NA,NA,NA,,,,,,,,,,,,,,,0,
2,SBSmc2/un,,NA,NA,,,NA,NA,NA,NA,,,,,,,,,,,,,,,0,
,SBSmc2/un,,NA,NA,,,NA,NA,NA,NA,,,,,,,,,,,,,,,0,
,SBSmc2/Unk,,NA,NA,,,NA,NA,NA,NA,,,,,,,,,,,,,,,0,
,Unk,,NA,NA,,,NA,NA,NA,NA,,,,,,NA,,,,,,,,,,
3,WHM,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,,,33,,,0,0,,2,0,
